Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_2142fd53	n	Do you need the RenPy short tutorial?	game/script.rpy	54	n "[what]" nointeract
start_game_0b4d462a	n	Which chapter of the game you want to jump to?	game/script.rpy	65	n "[what]" nointeract
start_testingZone_BACKUP_5344301e	n	START TESTING ZONE.	game/testing-zone.rpy	6	n "[what]"
start_testingZone_BACKUP_c27c349a	n	This part is currently empty	game/testing-zone.rpy	8	n "[what]"
start_testingZone_50d54c8b	n	This is narration.	game/testing-zone.rpy	24	n "[what]"
start_testingZone_59da8daa	e	This is john talking.	game/testing-zone.rpy	25	e "[what]"
start_testingZone_222f2928	n	This is more narration.	game/testing-zone.rpy	26	n "[what]"
start_chapter1_a21b80b5	p	Ah, I'm finally home...	game/chapter-1.rpy	9	p "[what]"
start_chapter1_a13f0628	g	Whoa you really messed that up! I see you’ve had a bad day.	game/chapter-1.rpy	10	g "[what]"
start_chapter1_94b1d53c	g	I have a proposition for you.	game/chapter-1.rpy	11	g "[what]"
start_chapter1_32ec81b6	g	Would you like a do over...a chance to undo your mistakes?	game/chapter-1.rpy	12	g "[what]"
start_chapter1_e1cd0332	g	Interesting question. A rather rude one. But interesting.	game/chapter-1.rpy	18	g "[what]"
start_chapter1_7ff97b89	g	Interesting.	game/chapter-1.rpy	20	g "[what]"
start_chapter1_b2697961	g	Interesting answer.	game/chapter-1.rpy	22	g "[what]"
next_1_015bd2ed	g	The rules are simple. You go back and complete a task for me, and you can fix your mistake.	game/chapter-1.rpy	25	g "[what]"
next_2_a1a7e2ae	g	Interesting question. I simply need you to deliver this letter to the coffee shop across the street from your office.	game/chapter-1.rpy	34	g "[what]"
next_2_b5c22466	n	Letter reads: "Loved the date last night -T"	game/chapter-1.rpy	38	n "[what]"
next_3_ef4a8379	g	Fantastic. I hope your journey is fruitful.	game/chapter-1.rpy	43	g "[what]"
next_3_37f8c7ba	n	Time God snaps his fingers and you’re transported to one week into the past.	game/chapter-1.rpy	46	n "[what]"
next_3_7ad06b7d	p	So...where should I go?	game/chapter-1.rpy	51	p "[what]"
cafe_7f9d9bff	p	I need to teach my past self how to make coffee, maybe I should send him to deliver the letter instead.	game/chapter-1.rpy	65	p "[what]"
cafe_5154764e	n	Where do you want to go?	game/chapter-1.rpy	66	n "[what]"
